aoa, cl_matlab, cl_conformal_mapping, cl_wind_tunnel
-5, -0.6298, -0.6235, 
-4, -0.5041, -0.4990, 
-3, -0.3782, -0.3744, 
-2, -0.2522, -0.2497, 
-1, -0.1261, -0.1249, 
0, 0.0000, 0.0000, 
1, 0.1261, 0.1249, 
2, 0.2522, 0.2497, 
3, 0.3782, 0.3744, 
4, 0.5041, 0.4990, 
5, 0.6298, 0.6235, 0.4455
6, 0.7554, 0.7478, 
7, 0.8807, 0.8718, 
8, 1.0057, 0.9956, 
9, 1.1305, 1.1191, 
10, 1.2548, 1.2422, 0.8633
11, 1.3789, 1.3650, 
12, 1.5025, 1.4874, 
13, 1.6256, 1.6093, 
14, 1.7482, 1.7307, 
15, 1.8703, 1.8515, 1.1041
16, 1.9919, 1.9719, 
17, 2.1128, 2.0916, 
18, 2.2331, 2.2106, 
19, 2.3527, 2.3291, 
20, 2.4716, 2.4467, 
